name,price,currency
Unknown Product,100.0,IDR
Unknown Product,100.0,IDR
T-shirt 2,102.15,IDR
T-shirt 2,102.15,IDR
Hoodie 3,496.88,IDR
Hoodie 3,496.88,IDR
Pants 4,467.31,IDR
Pants 4,467.31,IDR
Outerwear 5,321.59,IDR
Outerwear 5,321.59,IDR
Jacket 6,153.37,IDR
Jacket 6,153.37,IDR
Crewneck 7,430.75,IDR
Crewneck 7,430.75,IDR
T-shirt 8,487.66,IDR
T-shirt 8,487.66,IDR
Hoodie 9,248.26,IDR
Hoodie 9,248.26,IDR
Pants 10,193.76,IDR
Pants 10,193.76,IDR
Unknown Product,100.0,IDR
Unknown Product,100.0,IDR
Jacket 12,532.99,IDR
Jacket 12,532.99,IDR
Crewneck 13,340.45,IDR
Crewneck 13,340.45,IDR
T-shirt 14,203.05,IDR
T-shirt 14,203.05,IDR
Hoodie 15,136.51,IDR
Hoodie 15,136.51,IDR
Outerwear 17,52.6,IDR
Outerwear 17,52.6,IDR
Jacket 18,343.75,IDR
Jacket 18,343.75,IDR
Crewneck 19,81.81,IDR
Crewneck 19,81.81,IDR
T-shirt 20,82.85,IDR
T-shirt 20,82.85,IDR
